 

stn;time;prestas0;qprestas0
LUZ;202301010000;969.8;4
LUZ;202301010010;969.9;4
LUZ;202301010020;969.9;4
LUZ;202301010030;969.9;4
LUZ;202301010040;969.9;4
LUZ;202301010050;969.9;4
LUZ;202301010100;969.9;4
LUZ;202301010110;970.0;4
LUZ;202301010120;969.9;4
LUZ;202301010130;969.8;4
LUZ;202301010140;969.7;4
LUZ;202301010150;969.7;4
LUZ;202301010200;969.7;4
LUZ;202301010210;969.9;4
LUZ;202301010220;969.8;4
LUZ;202301010230;969.8;4
LUZ;202301010240;969.9;4
LUZ;202301010250;969.9;4
LUZ;202301010300;970.1;4
LUZ;202301010310;970.3;4
LUZ;202301010320;970.4;4
LUZ;202301010330;970.4;4
LUZ;202301010340;970.4;4
LUZ;202301010350;970.5;4
LUZ;202301010400;970.5;4
LUZ;202301010410;970.5;4
LUZ;202301010420;970.6;4
LUZ;202301010430;970.7;4
LUZ;202301010440;970.6;4
LUZ;202301010450;970.7;4
LUZ;202301010500;970.6;4
LUZ;202301010510;970.7;4
LUZ;202301010520;970.8;4
LUZ;202301010530;970.8;4
LUZ;202301010540;970.7;4
LUZ;202301010550;970.7;4
LUZ;202301010600;970.8;4
LUZ;202301010610;970.7;4
LUZ;202301010620;970.8;4
LUZ;202301010630;970.9;4
LUZ;202301010640;970.9;4
LUZ;202301010650;971.0;4
LUZ;202301010700;971.1;4
LUZ;202301010710;971.1;4
LUZ;202301010720;971.1;4
LUZ;202301010730;971.0;4
LUZ;202301010740;971.0;4
LUZ;202301010750;971.2;4
LUZ;202301010800;971.3;4
LUZ;202301010810;971.4;4
LUZ;202301010820;971.4;4
LUZ;202301010830;971.4;4
LUZ;202301010840;971.5;4
LUZ;202301010850;971.5;4
LUZ;202301010900;971.4;4
LUZ;202301010910;971.4;4
LUZ;202301010920;971.4;4
LUZ;202301010930;971.4;4
LUZ;202301010940;971.3;4
LUZ;202301010950;971.4;4
LUZ;202301011000;971.4;4
LUZ;202301011010;971.4;4
LUZ;202301011020;971.4;4
LUZ;202301011030;971.3;4
LUZ;202301011040;971.1;4
LUZ;202301011050;971.0;4
LUZ;202301011100;970.9;4
LUZ;202301011110;970.7;4
LUZ;202301011120;970.6;4
LUZ;202301011130;970.5;4
LUZ;202301011140;970.2;4
LUZ;202301011150;970.0;4
LUZ;202301011200;969.9;4
LUZ;202301011210;969.8;4
LUZ;202301011220;969.7;4
LUZ;202301011230;969.7;4
LUZ;202301011240;969.6;4
LUZ;202301011250;969.5;4
LUZ;202301011300;969.4;4
LUZ;202301011310;969.3;4
LUZ;202301011320;969.1;4
LUZ;202301011330;969.1;4
LUZ;202301011340;969.2;4
LUZ;202301011350;969.1;4
LUZ;202301011400;969.0;4
LUZ;202301011410;969.0;4
LUZ;202301011420;969.0;4
LUZ;202301011430;969.0;4
LUZ;202301011440;969.0;4
LUZ;202301011450;969.0;4
LUZ;202301011500;969.0;4
LUZ;202301011510;969.1;4
LUZ;202301011520;969.1;4
LUZ;202301011530;969.1;4
LUZ;202301011540;969.2;4
LUZ;202301011550;969.2;4
LUZ;202301011600;969.3;4
LUZ;202301011610;969.4;4
