 

stn;time;tre200s0;qtre200s0
LUZ;202301010000;5.4;4
LUZ;202301010010;5.4;4
LUZ;202301010020;5.2;4
LUZ;202301010030;5.2;4
LUZ;202301010040;4.9;4
LUZ;202301010050;5.2;4
LUZ;202301010100;4.9;4
LUZ;202301010110;5.5;4
LUZ;202301010120;5.5;4
LUZ;202301010130;5.2;4
LUZ;202301010140;4.2;4
LUZ;202301010150;5.2;4
LUZ;202301010200;5.3;4
LUZ;202301010210;5.3;4
LUZ;202301010220;5.3;4
LUZ;202301010230;5.2;4
LUZ;202301010240;4.9;4
LUZ;202301010250;5.2;4
LUZ;202301010300;4.7;4
LUZ;202301010310;4.6;4
LUZ;202301010320;4.1;4
LUZ;202301010330;4.3;4
LUZ;202301010340;4.2;4
LUZ;202301010350;4.5;4
LUZ;202301010400;4.3;4
LUZ;202301010410;4.3;4
LUZ;202301010420;3.5;4
LUZ;202301010430;4.3;4
LUZ;202301010440;4.8;4
LUZ;202301010450;5.0;4
LUZ;202301010500;4.6;4
LUZ;202301010510;4.8;4
LUZ;202301010520;4.9;4
LUZ;202301010530;4.7;4
LUZ;202301010540;4.7;4
LUZ;202301010550;3.9;4
LUZ;202301010600;4.6;4
LUZ;202301010610;4.6;4
LUZ;202301010620;3.8;4
LUZ;202301010630;3.9;4
LUZ;202301010640;3.8;4
LUZ;202301010650;4.0;4
LUZ;202301010700;3.5;4
LUZ;202301010710;3.3;4
LUZ;202301010720;4.1;4
LUZ;202301010730;4.0;4
LUZ;202301010740;4.2;4
LUZ;202301010750;4.3;4
LUZ;202301010800;4.7;4
LUZ;202301010810;5.4;4
LUZ;202301010820;5.2;4
LUZ;202301010830;5.5;4
LUZ;202301010840;5.8;4
LUZ;202301010850;5.7;4
LUZ;202301010900;6.2;4
LUZ;202301010910;6.0;4
LUZ;202301010920;6.3;4
LUZ;202301010930;6.9;4
LUZ;202301010940;7.4;4
LUZ;202301010950;7.9;4
LUZ;202301011000;8.3;4
LUZ;202301011010;8.9;4
LUZ;202301011020;9.2;4
LUZ;202301011030;9.6;4
LUZ;202301011040;10.3;4
LUZ;202301011050;10.4;4
LUZ;202301011100;10.9;4
LUZ;202301011110;11.1;4
LUZ;202301011120;11.4;4
LUZ;202301011130;11.6;4
LUZ;202301011140;11.9;4
LUZ;202301011150;11.3;4
LUZ;202301011200;11.1;4
LUZ;202301011210;11.4;4
LUZ;202301011220;11.9;4
