time;stn;htoauts0;qhtoauts0
202301010000;LUZ;-;-
202301010010;LUZ;-;-
202301010020;LUZ;-;-
202301010030;LUZ;-;-
202301010040;LUZ;-;-
202301010050;LUZ;-;-
202301010100;LUZ;-;-
202301010110;LUZ;-;-
202301010120;LUZ;-;-
202301010130;LUZ;-;-
202301010140;LUZ;-;-
202301010150;LUZ;-;-
202301010200;LUZ;-;-
202301010210;LUZ;-;-
202301010220;LUZ;-;-
202301010230;LUZ;-;-
202301010240;LUZ;-;-
202301010250;LUZ;-;-
202301010300;LUZ;-;-
202301010310;LUZ;-;-
202301010320;LUZ;-;-
202301010330;LUZ;-;-
202301010340;LUZ;-;-
202301010350;LUZ;-;-
202301010400;LUZ;-;-
202301010410;LUZ;-;-
202301010420;LUZ;-;-
202301010430;LUZ;-;-
202301010440;LUZ;-;-
202301010450;LUZ;-;-
202301010500;LUZ;-;-
202301010510;LUZ;-;-
202301010520;LUZ;-;-
202301010530;LUZ;-;-
202301010540;LUZ;-;-
202301010550;LUZ;-;-
202301010600;LUZ;-;-
202301010610;LUZ;-;-
202301010620;LUZ;-;-
202301010630;LUZ;-;-
202301010640;LUZ;-;-
202301010650;LUZ;-;-
202301010700;LUZ;-;-
202301010710;LUZ;-;-
202301010720;LUZ;-;-
202301010730;LUZ;-;-
202301010740;LUZ;-;-
202301010750;LUZ;-;-
202301010800;LUZ;-;-
202301010810;LUZ;-;-
202301010820;LUZ;-;-
202301010830;LUZ;-;-
202301010840;LUZ;-;-
202301010850;LUZ;-;-
202301010900;LUZ;-;-
202301010910;LUZ;-;-
202301010920;LUZ;-;-
202301010930;LUZ;-;-
202301010940;LUZ;-;-
202301010950;LUZ;-;-
202301011000;LUZ;-;-
202301011010;LUZ;-;-
202301011020;LUZ;-;-
202301011030;LUZ;-;-
202301011040;LUZ;-;-
202301011050;LUZ;-;-
202301011100;LUZ;-;-
202301011110;LUZ;-;-
202301011120;LUZ;-;-
202301011130;LUZ;-;-
202301011140;LUZ;-;-
202301011150;LUZ;-;-
202301011200;LUZ;-;-
202301011210;LUZ;-;-
202301011220;LUZ;-;-
202301011230;LUZ;-;-
202301011240;LUZ;-;-
202301011250;LUZ;-;-
202301011300;LUZ;-;-
202301011310;LUZ;-;-
202301011320;LUZ;-;-
202301011330;LUZ;-;-
202301011340;LUZ;-;-
202301011350;LUZ;-;-
202301011400;LUZ;-;-
202301011410;LUZ;-;-
202301011420;LUZ;-;-
202301011430;LUZ;-;-
202301011440;LUZ;-;-
202301011450;LUZ;-;-
202301011500;LUZ;-;-
202301011510;LUZ;-;-
202301011520;LUZ;-;-
202301011530;LUZ;-;-
202301011540;LUZ;-;-
202301011550;LUZ;-;-
202301011600;LUZ;-;-
202301011610;LUZ;-;-
202301011620;LUZ;-;-
202301011630;LUZ;-;-
202301011640;LUZ;-;-
202301011650;LUZ;-;-
202301011700;LUZ;-;-
202301011710;LUZ;-;-
202301011720;LUZ;-;-
202301011730;LUZ;-;-
202301011740;LUZ;-;-
202301011750;LUZ;-;-
202301011800;LUZ;-;-
202301011810;LUZ;-;-
202301011820;LUZ;-;-
202301011830;LUZ;-;-
202301011840;LUZ;-;-
202301011850;LUZ;-;-
202301011900;LUZ;-;-
202301011910;LUZ;-;-
202301011920;LUZ;-;-
202301011930;LUZ;-;-
202301011940;LUZ;-;-
202301011950;LUZ;-;-
202301012000;LUZ;-;-
202301012010;LUZ;-;-
202301012020;LUZ;-;-
202301012030;LUZ;-;-
202301012040;LUZ;-;-
202301012050;LUZ;-;-
202301012100;LUZ;-;-
202301012110;LUZ;-;-
202301012120;LUZ;-;-
202301012130;LUZ;-;-
202301012140;LUZ;-;-
202301012150;LUZ;-;-
202301012200;LUZ;-;-
202301012210;LUZ;-;-
202301012220;LUZ;-;-
202301012230;LUZ;-;-
202301012240;LUZ;-;-
202301012250;LUZ;-;-
202301012300;LUZ;-;-
202301012310;LUZ;-;-
202301012320;LUZ;-;-
202301012330;LUZ;-;-
202301012340;LUZ;-;-
202301012350;LUZ;-;-
202301020000;LUZ;-;-
202301020010;LUZ;-;-
202301020020;LUZ;-;-
202301020030;LUZ;-;-
202301020040;LUZ;-;-
202301020050;LUZ;-;-
202301020100;LUZ;-;-
202301020110;LUZ;-;-
202301020120;LUZ;-;-
202301020130;LUZ;-;-
202301020140;LUZ;-;-
202301020150;LUZ;-;-
202301020200;LUZ;-;-
202301020210;LUZ;-;-
202301020220;LUZ;-;-
202301020230;LUZ;-;-
202301020240;LUZ;-;-
202301020250;LUZ;-;-
202301020300;LUZ;-;-
202301020310;LUZ;-;-
202301020320;LUZ;-;-
202301020330;LUZ;-;-
202301020340;LUZ;-;-
202301020350;LUZ;-;-
202301020400;LUZ;-;-
202301020410;LUZ;-;-
202301020420;LUZ;-;-
202301020430;LUZ;-;-
202301020440;LUZ;-;-
202301020450;LUZ;-;-
202301020500;LUZ;-;-
202301020510;LUZ;-;-
202301020520;LUZ;-;-
202301020530;LUZ;-;-
202301020540;LUZ;-;-
202301020550;LUZ;-;-
202301020600;LUZ;-;-
202301020610;LUZ;-;-
202301020620;LUZ;-;-
202301020630;LUZ;-;-
202301020640;LUZ;-;-
202301020650;LUZ;-;-
202301020700;LUZ;-;-
202301020710;LUZ;-;-
202301020720;LUZ;-;-
202301020730;LUZ;-;-
202301020740;LUZ;-;-
202301020750;LUZ;-;-
202301020800;LUZ;-;-
202301020810;LUZ;-;-
202301020820;LUZ;-;-
202301020830;LUZ;-;-
202301020840;LUZ;-;-
202301020850;LUZ;-;-
202301020900;LUZ;-;-
202301020910;LUZ;-;-
202301020920;LUZ;-;-
202301020930;LUZ;-;-
202301020940;LUZ;-;-
202301020950;LUZ;-;-
202301021000;LUZ;-;-
202301021010;LUZ;-;-
202301021020;LUZ;-;-
202301021030;LUZ;-;-
202301021040;LUZ;-;-
202301021050;LUZ;-;-
202301021100;LUZ;-;-
202301021110;LUZ;-;-
202301021120;LUZ;-;-
202301021130;LUZ;-;-
202301021140;LUZ;-;-
202301021150;LUZ;-;-
202301021200;LUZ;-;-
202301021210;LUZ;-;-
202301021220;LUZ;-;-
202301021230;LUZ;-;-
202301021240;LUZ;-;-
202301021250;LUZ;-;-
202301021300;LUZ;-;-
202301021310;LUZ;-;-
202301021320;LUZ;-;-
202301021330;LUZ;-;-
202301021340;LUZ;-;-
202301021350;LUZ;-;-
202301021400;LUZ;-;-
202301021410;LUZ;-;-
202301021420;LUZ;-;-
202301021430;LUZ;-;-
202301021440;LUZ;-;-
202301021450;LUZ;-;-
202301021500;LUZ;-;-
202301021510;LUZ;-;-
202301021520;LUZ;-;-
