 

stn;time;fu3010z0;qfu3010z0
LUZ;202301010000;0.4;0
LUZ;202301010010;0.7;0
LUZ;202301010020;1.4;0
LUZ;202301010030;2.5;0
LUZ;202301010040;1.8;0
LUZ;202301010050;2.5;0
LUZ;202301010100;2.2;0
LUZ;202301010110;4.0;0
LUZ;202301010120;2.2;0
LUZ;202301010130;2.2;0
LUZ;202301010140;3.6;0
LUZ;202301010150;3.6;0
LUZ;202301010200;2.5;0
LUZ;202301010210;5.4;0
LUZ;202301010220;3.2;0
LUZ;202301010230;2.2;0
LUZ;202301010240;1.8;0
LUZ;202301010250;1.8;0
LUZ;202301010300;1.1;0
LUZ;202301010310;2.2;0
LUZ;202301010320;2.2;0
LUZ;202301010330;1.4;0
LUZ;202301010340;1.4;0
LUZ;202301010350;2.2;0
LUZ;202301010400;2.5;0
LUZ;202301010410;4.0;0
LUZ;202301010420;4.3;0
LUZ;202301010430;4.7;0
LUZ;202301010440;3.6;0
LUZ;202301010450;3.6;0
LUZ;202301010500;2.5;0
LUZ;202301010510;1.4;0
LUZ;202301010520;4.0;0
LUZ;202301010530;3.6;0
LUZ;202301010540;2.2;0
LUZ;202301010550;1.1;0
LUZ;202301010600;1.4;0
LUZ;202301010610;0.7;0
LUZ;202301010620;1.1;0
LUZ;202301010630;1.4;0
LUZ;202301010640;2.5;0
LUZ;202301010650;4.0;0
LUZ;202301010700;3.6;0
LUZ;202301010710;6.1;0
LUZ;202301010720;5.0;0
LUZ;202301010730;3.6;0
LUZ;202301010740;3.6;0
LUZ;202301010750;0.7;0
LUZ;202301010800;2.2;0
LUZ;202301010810;2.2;0
LUZ;202301010820;1.8;0
LUZ;202301010830;0.4;0
LUZ;202301010840;1.8;0
LUZ;202301010850;1.1;0
LUZ;202301010900;1.4;0
LUZ;202301010910;2.5;0
LUZ;202301010920;3.6;0
LUZ;202301010930;4.3;0
LUZ;202301010940;2.5;0
LUZ;202301010950;1.8;0
LUZ;202301011000;0.7;0
LUZ;202301011010;1.4;0
LUZ;202301011020;0.7;0
LUZ;202301011030;1.1;0
LUZ;202301011040;1.1;0
LUZ;202301011050;1.8;0
LUZ;202301011100;1.8;0
LUZ;202301011110;0.7;0
LUZ;202301011120;1.1;0
LUZ;202301011130;2.2;0
LUZ;202301011140;3.6;0
LUZ;202301011150;6.8;0
LUZ;202301011200;5.0;0
LUZ;202301011210;3.6;0
LUZ;202301011220;4.0;0
LUZ;202301011230;2.5;0
LUZ;202301011240;2.5;0
LUZ;202301011250;1.4;0
LUZ;202301011300;1.8;0
LUZ;202301011310;1.1;0
LUZ;202301011320;1.4;0
LUZ;202301011330;2.2;0
LUZ;202301011340;1.4;0
LUZ;202301011350;1.4;0
LUZ;202301011400;2.9;0
LUZ;202301011410;2.5;0
LUZ;202301011420;2.5;0
LUZ;202301011430;2.9;0
LUZ;202301011440;5.0;0
LUZ;202301011450;5.8;0
LUZ;202301011500;5.4;0
LUZ;202301011510;6.5;0
LUZ;202301011520;4.3;0
LUZ;202301011530;3.6;0
LUZ;202301011540;4.0;0
LUZ;202301011550;5.8;0
LUZ;202301011600;4.7;0
LUZ;202301011610;3.2;0
LUZ;202301011620;5.8;0
LUZ;202301011630;4.3;0
LUZ;202301011640;2.9;0
LUZ;202301011650;3.2;0
LUZ;202301011700;2.2;0
LUZ;202301011710;2.9;0
LUZ;202301011720;2.5;0
LUZ;202301011730;3.2;0
LUZ;202301011740;4.0;0
LUZ;202301011750;4.3;0
LUZ;202301011800;3.6;0
LUZ;202301011810;2.9;0
LUZ;202301011820;5.0;0
LUZ;202301011830;5.8;0
LUZ;202301011840;5.0;0
LUZ;202301011850;2.5;0
LUZ;202301011900;1.1;0
LUZ;202301011910;1.4;0
LUZ;202301011920;2.5;0
LUZ;202301011930;2.5;0
LUZ;202301011940;2.2;0
LUZ;202301011950;3.6;0
LUZ;202301012000;5.8;0
LUZ;202301012010;2.5;0
LUZ;202301012020;0.7;0
LUZ;202301012030;1.8;0
LUZ;202301012040;2.2;0
LUZ;202301012050;2.5;0
LUZ;202301012100;2.5;0
LUZ;202301012110;3.6;0
LUZ;202301012120;7.9;0
LUZ;202301012130;6.8;0
LUZ;202301012140;2.5;0
LUZ;202301012150;2.2;0
LUZ;202301012200;2.2;0
LUZ;202301012210;2.2;0
LUZ;202301012220;1.1;0
LUZ;202301012230;2.5;0
LUZ;202301012240;2.2;0
LUZ;202301012250;4.0;0
LUZ;202301012300;5.8;0
LUZ;202301012310;2.9;0
LUZ;202301012320;3.2;0
LUZ;202301012330;4.3;0
LUZ;202301012340;3.6;0
LUZ;202301012350;3.2;0
LUZ;202301020000;1.4;0
LUZ;202301020010;1.8;0
LUZ;202301020020;2.2;0
LUZ;202301020030;4.0;0
LUZ;202301020040;2.2;0
LUZ;202301020050;0.7;0
LUZ;202301020100;2.5;0
LUZ;202301020110;4.7;0
LUZ;202301020120;4.3;0
LUZ;202301020130;6.5;0
LUZ;202301020140;7.2;0
LUZ;202301020150;5.4;0
LUZ;202301020200;4.7;0
LUZ;202301020210;5.0;0
LUZ;202301020220;1.4;0
LUZ;202301020230;2.9;0
LUZ;202301020240;1.8;0
LUZ;202301020250;0.7;0
LUZ;202301020300;1.8;0
LUZ;202301020310;2.9;0
LUZ;202301020320;1.1;0
LUZ;202301020330;0.7;0
LUZ;202301020340;1.1;0
LUZ;202301020350;1.8;0
LUZ;202301020400;2.2;0
LUZ;202301020410;3.2;0
LUZ;202301020420;0.7;0
LUZ;202301020430;1.4;0
LUZ;202301020440;0.0;0
LUZ;202301020450;1.4;0
LUZ;202301020500;0.4;0
LUZ;202301020510;1.1;0
LUZ;202301020520;0.7;0
LUZ;202301020530;2.2;0
LUZ;202301020540;2.9;0
LUZ;202301020550;1.8;0
LUZ;202301020600;1.4;0
LUZ;202301020610;1.4;0
LUZ;202301020620;2.2;0
LUZ;202301020630;2.5;0
LUZ;202301020640;2.2;0
LUZ;202301020650;1.1;0
LUZ;202301020700;3.2;0
LUZ;202301020710;1.8;0
LUZ;202301020720;2.2;0
LUZ;202301020730;2.5;0
LUZ;202301020740;2.9;0
LUZ;202301020750;2.9;0
LUZ;202301020800;2.5;0
LUZ;202301020810;0.7;0
LUZ;202301020820;1.4;0
LUZ;202301020830;1.1;0
LUZ;202301020840;2.5;0
LUZ;202301020850;5.0;0
LUZ;202301020900;2.5;0
LUZ;202301020910;2.2;0
LUZ;202301020920;1.4;0
LUZ;202301020930;1.8;0
LUZ;202301020940;1.4;0
LUZ;202301020950;3.2;0
LUZ;202301021000;2.2;0
LUZ;202301021010;2.5;0
LUZ;202301021020;3.2;0
LUZ;202301021030;1.4;0
LUZ;202301021040;2.5;0
LUZ;202301021050;2.5;0
LUZ;202301021100;2.9;0
LUZ;202301021110;2.9;0
LUZ;202301021120;1.8;0
LUZ;202301021130;0.7;0
LUZ;202301021140;4.0;0
LUZ;202301021150;2.2;0
LUZ;202301021200;0.7;0
LUZ;202301021210;2.9;0
LUZ;202301021220;3.2;0
LUZ;202301021230;2.5;0
LUZ;202301021240;1.8;0
LUZ;202301021250;5.4;0
LUZ;202301021300;2.2;0
LUZ;202301021310;4.7;0
LUZ;202301021320;4.3;0
LUZ;202301021330;5.4;0
LUZ;202301021340;3.6;0
LUZ;202301021350;2.9;0
LUZ;202301021400;3.6;0
LUZ;202301021410;2.5;0
LUZ;202301021420;2.5;0
LUZ;202301021430;3.6;0
LUZ;202301021440;3.6;0
LUZ;202301021450;8.3;0
LUZ;202301021500;6.8;0
LUZ;202301021510;7.2;0
LUZ;202301021520;11.5;0
LUZ;202301021530;10.8;0
LUZ;202301021540;6.5;0
LUZ;202301021550;2.9;0
LUZ;202301021600;5.4;0
LUZ;202301021610;5.8;0
LUZ;202301021620;4.0;0
LUZ;202301021630;4.0;0
LUZ;202301021640;4.3;0
LUZ;202301021650;4.7;0
LUZ;202301021700;5.0;0
LUZ;202301021710;4.0;0
LUZ;202301021720;4.7;0
LUZ;202301021730;3.6;0
LUZ;202301021740;3.6;0
LUZ;202301021750;4.0;0
LUZ;202301021800;2.2;0
LUZ;202301021810;2.5;0
LUZ;202301021820;2.9;0
LUZ;202301021830;2.5;0
LUZ;202301021840;1.8;0
LUZ;202301021850;1.8;0
LUZ;202301021900;4.3;0
LUZ;202301021910;2.9;0
LUZ;202301021920;2.5;0
LUZ;202301021930;2.2;0
LUZ;202301021940;2.2;0
LUZ;202301021950;2.2;0
LUZ;202301022000;1.1;0
LUZ;202301022010;1.1;0
LUZ;202301022020;1.8;0
LUZ;202301022030;4.0;0
LUZ;202301022040;7.6;0
LUZ;202301022050;5.8;0
LUZ;202301022100;3.6;0
LUZ;202301022110;3.2;0
LUZ;202301022120;2.2;0
LUZ;202301022130;3.2;0
LUZ;202301022140;4.0;0
LUZ;202301022150;2.2;0
LUZ;202301022200;1.4;0
LUZ;202301022210;0.7;0
LUZ;202301022220;2.5;0
LUZ;202301022230;2.2;0
LUZ;202301022240;2.9;0
LUZ;202301022250;2.2;0
LUZ;202301022300;3.6;0
LUZ;202301022310;6.5;0
LUZ;202301022320;6.5;0
LUZ;202301022330;5.8;0
LUZ;202301022340;3.2;0
LUZ;202301022350;3.6;0
LUZ;202301030000;3.2;0
LUZ;202301030010;2.2;0
LUZ;202301030020;3.2;0
LUZ;202301030030;4.7;0
LUZ;202301030040;3.6;0
LUZ;202301030050;1.8;0
LUZ;202301030100;1.8;0
LUZ;202301030110;2.5;0
LUZ;202301030120;1.4;0
LUZ;202301030130;1.1;0
LUZ;202301030140;2.2;0
LUZ;202301030150;1.8;0
LUZ;202301030200;3.2;0
LUZ;202301030210;2.2;0
LUZ;202301030220;2.2;0
LUZ;202301030230;1.4;0
LUZ;202301030240;1.4;0
LUZ;202301030250;2.9;0
LUZ;202301030300;1.4;0
LUZ;202301030310;3.2;0
LUZ;202301030320;2.2;0
LUZ;202301030330;7.2;0
LUZ;202301030340;9.4;0
LUZ;202301030350;8.3;0
LUZ;202301030400;4.7;0
LUZ;202301030410;4.7;0
LUZ;202301030420;4.3;0
LUZ;202301030430;3.6;0
LUZ;202301030440;3.2;0
LUZ;202301030450;2.9;0
LUZ;202301030500;4.3;0
LUZ;202301030510;4.0;0
LUZ;202301030520;2.5;0
LUZ;202301030530;6.5;0
LUZ;202301030540;6.1;0
LUZ;202301030550;6.5;0
LUZ;202301030600;6.1;0
LUZ;202301030610;6.5;0
LUZ;202301030620;5.4;0
LUZ;202301030630;4.7;0
LUZ;202301030640;2.9;0
LUZ;202301030650;4.0;0
LUZ;202301030700;3.6;0
LUZ;202301030710;4.0;0
LUZ;202301030720;2.9;0
LUZ;202301030730;2.9;0
LUZ;202301030740;4.0;0
LUZ;202301030750;4.0;0
LUZ;202301030800;5.0;0
LUZ;202301030810;9.4;0
LUZ;202301030820;10.4;0
LUZ;202301030830;7.6;0
LUZ;202301030840;8.6;0
LUZ;202301030850;7.9;0
LUZ;202301030900;4.0;0
LUZ;202301030910;2.9;0
LUZ;202301030920;3.6;0
LUZ;202301030930;3.6;0
LUZ;202301030940;3.2;0
LUZ;202301030950;2.2;0
LUZ;202301031000;2.5;0
LUZ;202301031010;1.8;0
LUZ;202301031020;2.5;0
LUZ;202301031030;2.5;0
LUZ;202301031040;2.2;0
LUZ;202301031050;2.5;0
LUZ;202301031100;2.9;0
LUZ;202301031110;2.2;0
LUZ;202301031120;1.4;0
LUZ;202301031130;1.8;0
LUZ;202301031140;1.4;0
LUZ;202301031150;2.5;0
LUZ;202301031200;2.9;0
LUZ;202301031210;2.9;0
LUZ;202301031220;3.2;0
LUZ;202301031230;3.2;0
LUZ;202301031240;3.2;0
LUZ;202301031250;6.1;0
LUZ;202301031300;6.8;0
LUZ;202301031310;7.6;0
LUZ;202301031320;4.0;0
LUZ;202301031330;5.8;0
LUZ;202301031340;5.0;0
LUZ;202301031350;2.2;0
LUZ;202301031400;1.8;0
LUZ;202301031410;1.4;0
LUZ;202301031420;1.4;0
LUZ;202301031430;1.4;0
LUZ;202301031440;1.8;0
LUZ;202301031450;0.7;0
LUZ;202301031500;2.2;0
LUZ;202301031510;2.5;0
LUZ;202301031520;1.4;0
LUZ;202301031530;1.1;0
LUZ;202301031540;1.1;0
LUZ;202301031550;1.8;0
LUZ;202301031600;2.9;0
LUZ;202301031610;3.2;0
LUZ;202301031620;2.9;0
LUZ;202301031630;4.0;0
LUZ;202301031640;1.1;0
LUZ;202301031650;0.7;0
LUZ;202301031700;1.1;0
LUZ;202301031710;0.4;0
LUZ;202301031720;1.4;0
LUZ;202301031730;3.6;0
LUZ;202301031740;2.2;0
LUZ;202301031750;2.9;0
LUZ;202301031800;3.2;0
LUZ;202301031810;3.6;0
LUZ;202301031820;2.5;0
LUZ;202301031830;1.8;0
LUZ;202301031840;1.4;0
LUZ;202301031850;1.1;0
LUZ;202301031900;2.2;0
LUZ;202301031910;1.8;0
LUZ;202301031920;1.8;0
LUZ;202301031930;1.4;0
LUZ;202301031940;2.5;0
LUZ;202301031950;4.0;0
LUZ;202301032000;6.5;0
LUZ;202301032010;6.8;0
LUZ;202301032020;4.7;0
LUZ;202301032030;2.2;0
LUZ;202301032040;3.6;0
LUZ;202301032050;3.6;0
LUZ;202301032100;1.4;0
LUZ;202301032110;2.2;0
LUZ;202301032120;4.3;0
LUZ;202301032130;2.9;0
LUZ;202301032140;1.8;0
LUZ;202301032150;1.4;0
LUZ;202301032200;1.8;0
LUZ;202301032210;2.2;0
LUZ;202301032220;0.7;0
LUZ;202301032230;2.9;0
LUZ;202301032240;3.6;0
LUZ;202301032250;3.6;0
LUZ;202301032300;4.7;0
LUZ;202301032310;2.9;0
LUZ;202301032320;3.2;0
LUZ;202301032330;4.0;0
LUZ;202301032340;4.3;0
LUZ;202301032350;3.6;0
LUZ;202301040000;1.1;0
LUZ;202301040010;1.4;0
LUZ;202301040020;0.4;0
LUZ;202301040030;1.1;0
LUZ;202301040040;1.1;0
LUZ;202301040050;1.4;0
LUZ;202301040100;5.4;0
LUZ;202301040110;3.2;0
LUZ;202301040120;1.8;0
LUZ;202301040130;1.1;0
LUZ;202301040140;2.2;0
LUZ;202301040150;0.7;0
LUZ;202301040200;0.7;0
LUZ;202301040210;1.4;0
